title;x-apisguru-categories;openapiVer;swaggerUrl;
AWS DataSync;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/datasync/2018-11-09/openapi.json;
Amazon DynamoDB Accelerator (DAX);['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/dax/2017-04-19/openapi.json;
Amazon Detective;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/detective/2018-10-26/openapi.json;
AWS Device Farm;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/devicefarm/2015-06-23/openapi.json;
Amazon DevOps Guru;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/devops-guru/2020-12-01/openapi.json;
AWS Direct Connect;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/directconnect/2012-10-25/openapi.json;
AWS Application Discovery Service;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/discovery/2015-11-01/openapi.json;
Amazon Data Lifecycle Manager;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/dlm/2018-01-12/openapi.json;
AWS Database Migration Service;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/dms/2016-01-01/openapi.json;
Amazon DocumentDB with MongoDB compatibility;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/docdb/2014-10-31/openapi.json;
AWS Directory Service;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/ds/2015-04-16/openapi.json;
Amazon DynamoDB;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/dynamodb/2012-08-10/openapi.json;
Amazon Elastic Block Store;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/ebs/2019-11-02/openapi.json;
Amazon Elastic Compute Cloud;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/ec2/2016-11-15/openapi.json;
AWS EC2 Instance Connect;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/ec2-instance-connect/2018-04-02/openapi.json;
Amazon EC2 Container Registry;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/ecr/2015-09-21/openapi.json;
Amazon Elastic Container Registry Public;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/ecr-public/2020-10-30/openapi.json;
Amazon EC2 Container Service;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/ecs/2014-11-13/openapi.json;
Amazon Elastic Kubernetes Service;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/eks/2017-11-01/openapi.json;
Amazon Elastic  Inference;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/elastic-inference/2017-07-25/openapi.json;
Amazon ElastiCache;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/elasticache/2015-02-02/openapi.json;
AWS Elastic Beanstalk;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/elasticbeanstalk/2010-12-01/openapi.json;
Amazon Elastic File System;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/elasticfilesystem/2015-02-01/openapi.json;
Elastic Load Balancing;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/elasticloadbalancing/2012-06-01/openapi.json;
Elastic Load Balancing;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/elasticloadbalancingv2/2015-12-01/openapi.json;
Amazon EMR;['cloud'];3.0.0;https://api.apis.guru/v2/specs/amazonaws.com/elasticmapreduce/2009-03-31/openapi.json;
