filename;violations
Report_apis-jsonShutterstock-API-Ex.md;571
Report_apis-jsonSIGNL4-API.md;233
Report_apis-jsonSiteRecoveryManagem.md;505
Report_apis-jsonSlicebox-API.md;223
Report_apis-jsonSnyk-API.md;144
Report_apis-jsonspoonacular-API.md;389
Report_apis-jsonStackExchange.md;1354
Report_apis-jsonStripe-API.md;1128
Report_apis-jsonSuperset.md;163
Report_apis-jsonSwagger-API2Cart.md;622
Report_apis-jsonTelegram-Bot-API.md;192
Report_apis-jsonTelnyx-API.md;854
Report_apis-jsonThe-Plaid-API.md;328
Report_apis-jsonTransport-for-Londo.md;216
Report_apis-jsonTrell.md;1357
Report_apis-jsonTwilio---Api.md;976
Report_apis-jsonTwilio---Preview.md;390
Report_apis-jsonTwitter-API.md;498
Report_apis-jsonVelo-Payments-API.md;285
Report_apis-jsonVime.md;593
Report_apis-jsonVocaDB.md;256
Report_apis-jsonvRealize-Network-In.md;714
Report_apis-jsonWebApps-API-Client.md;1216
Report_apis-jsonWebSite-Management-.md;807
Report_apis-jsonXero-Accounting-API.md;522
Report_apis-jsonZoom-API.md;1264
Report_APIs.guru.md;6
Report_APOD.md;3
Report_App-Center-Client.md;1359
Report_App-Engine-Admin-API.md;86
Report_AppConfigurationManagementClient.md;58
Report_Application-Auto-Scaling.md;41
Report_Application-Insights-Data-Plane.md;18
Report_Application-Integration-API.md;156
Report_Application-Migration-Service.md;95
Report_ApplicationClient.md;56
Report_ApplicationInsightsManagementClient.md;4
Report_ApplicationInsightsManagementClient42.md;11
Report_ApplicationInsightsManagementClient43.md;8
Report_ApplicationInsightsManagementClient44.md;8
Report_ApplicationInsightsManagementClient45.md;10
Report_ApplicationInsightsManagementClient46.md;6
Report_ApplicationInsightsManagementClient47.md;7
Report_ApplicationInsightsManagementClient48.md;15
Report_ApplicationInsightsManagementClient49.md;19
Report_ApplicationInsightsManagementClient50.md;20
Report_ApplicationInsightsManagementClient51.md;7
Report_ApplicationInsightsManagementClient52.md;3
Report_ApplicationInsightsManagementClient53.md;17
Report_ApplicationInsightsManagementClient54.md;14
Report_ApplicationInsightsManagementClient55.md;14
Report_AppPlatformManagementClient.md;111
Report_Apps-Script-API.md;32
Report_AppServiceCertificateOrders-API-Client.md;70
Report_AppServiceEnvironments-API-Client.md;99
Report_AppServicePlans-API-Client.md;78
Report_AppVeyor-REST-API.md;92
Report_Appwrite.md;106
Report_Appwrite4.md;179
Report_Archive-API.md;4
Report_Area120-Tables-API.md;31
Report_ART19-Content-API-Documentati.md;108
Report_Article-Rewriter-and-Article-Extractor-API.md;8
Report_Article-Search-API.md;4
Report_Artifact-Registry-API.md;64
Report_Artifact.md;88
Report_Assam-State-Board-of-Secondary-Education,-Assam.md;2
Report_Assured-Workloads-API.md;36
Report_Asynchronous-Speech-To-Text-API-Documentati.md;8
Report_ATM-Locator-API.md;14
Report_Atmosphere-API.md;6
Report_AttestationClient.md;9
Report_Auckland-Museum-API.md;17
Report_Audit-API.md;0
Report_Authenticati.md;1
Report_Authentiq-API.md;6
Report_Authentiq-Connect-API.md;15
Report_AuthorizationManagementClient.md;55
Report_AuthorizationManagementClient56.md;4
Report_AuthorizationManagementClient57.md;20
Report_AuthorizationManagementClient58.md;6
Report_AuthorizationManagementClient59.md;8
Report_AuthorizationManagementClient60.md;24
