title;x-apisguru-categories;openapiVer;swaggerUrl
ApplicationInsightsManagement9;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/applicationinsights-eaSubscriptionMigration_API/2017-10-01/swagger.json
ApplicationInsightsManagement10;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/applicationinsights-favorites_API/2015-05-01/swagger.json
ApplicationInsightsManagemen11;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/applicationinsights-webTestLocations_API/2015-05-01/swagger.json
ApplicationInsightsManagemen12;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/applicationinsights-webTests_API/2015-05-01/swagger.json
ApplicationInsightsManagemen13;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/applicationinsights-workbookTemplates_API/2019-10-17-preview/swagger.json
ApplicationInsightsManagemen14;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/applicationinsights-workbooks_API/2018-06-17-preview/swagger.json
AuthorizationManagementClient;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/authorization/2015-07-01/swagger.json
AuthorizationManagementClient1;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/authorization-authorization-ClassicAdminCalls/2015-07-01/swagger.json
AuthorizationManagementClient2;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/authorization-authorization-DenyAssignmentGetCalls/2018-07-01-preview/swagger.json
AuthorizationManagementClient3;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/authorization-authorization-ElevateAccessCalls/2015-07-01/swagger.json
AuthorizationManagementClient4;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/authorization-authorization-ProviderOperationsCalls/2018-01-01-preview/swagger.json
AuthorizationManagementClient5;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/authorization-authorization-RACalls/2017-10-01-preview/swagger.json
AuthorizationManagementClient6;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/authorization-authorization-RoleAssignmentsCalls/2018-09-01-preview/swagger.json
AuthorizationManagementClient7;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/authorization-authorization-RoleBasedCalls/2018-01-01-preview/swagger.json
AuthorizationManagementClient8;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/authorization-authorization-RoleDefinitionsCalls/2018-01-01-preview/swagger.json
